No,Question,Answer
1,"Do you already have a solution that can be used (e.g., middleware from Kaleido)? If so, can you confirm the solution used and whether our team will have access to it?",The scope of this engagement requires a new solution designed to meet our specific requirements.
2,"If not, do you have a list of market-based orchestration solutions that you have already qualified as potentially suitable?",We would rely on vendor expertise to identify and implement the most suitable solution based on project requirements. 
3,"Shall we propose one, potentially associated with licensing costs, even though the IP ownership will not belong to BIS at the end of the project?","Any proposed solution must ensure full BIS IP ownership with no licensing costs of any kind. Solutions that involve licensing fees or do not provide full IP ownership, will not meet our requirements. "
4,"If you are not yet equipped, could the project include the development of such a platform fully owned by BIS IP, possibly by reusing/customizing open-source frameworks such as Hyperledger Cacti? If so, the timeline seems ambitious to deliver a fully operational platform.","The use of open-source frameworks is acceptable, provided the proposed solution fully meets all dependency licensing requirements. 

The solution is for a proof of concept rather than a fully operational platform."
5,"Do you want us to propose a list of components to include in the sandbox, or will this be defined jointly at the project start?","We would prefer that a vendor prepares an initial proposal for the component list. This will serve as a baseline for discussion and alignment.

Regarding the sandbox, please note that it will be configured as a non-production environment strictly designed for testing and validation purposes.
As a minimum, the following can be expected from the sandbox environment:
-	Azure subscription (West Europe)
-	Dedicated VNET with sufficient permissions
-	Network segmentation, security policies and identity/access controls
-	Ability to deploy the required Azure first party marketplace services (Virtual machines/ VM Scale sets, Kubernetes, Databases, Storage accounts, Application Gateway etc)
The following capabilities are already introduced to support agile development:
-	AKS (Kubernetes) cluster for each dev/test/staging environments with associated ACR (Container Registry) for application image management
-	Infrastructure as Code (e.g. Terraform/Bicep) for provisioning resources
-	Azure DevOps project with a project board
-	CI/CD pipelines with source code repositories
-	Argo CD GitOps approach for application deployment 
-	Infra and apps deployment templates
"
6,"Do you already have smart contract models to apply (e.g., for creating a security), or should we propose ours?",Please propose the smart contract models to be used.
7,"You mention the use of emulated RTGS and CSD. Will you provide the user stories for interacting with them, or is the definition of these use cases and technical specifications part of the work expected from our business analysts?",We would expect the selected vendor to define the detailed user stories and technical specifications based on the predefined use cases in conjunction with the Project Team. The final deliverables are outlined in the SoW 7.2.b
8,You mention the use of HTLC (chapter 7) for atomic swaps between DLTs. Do you already have a framework for defining/implementing HTLC contracts and an off-chain solution to orchestrate them?,"No, this falls within the scope of the project delivery."
9,Where will the BIS project team we interact with be located? Can we assume a fully remote collaboration in English?,"The BIS project team is primarily based in London, United Kingdom. The selected vendor will be able to collaborate with the project team in English in a hybrid format (fully remote or with some in person working)"
10,"Based on past BIS projects, how many consultants/business analysts would you recommend planning for this project?","We do not have a definite number of an expected core team from the selected vendor.  
It is advisable that the selected vendor has the resource capability and capacity to operate at least a two-team structure, as a minimum, and be sufficiently staffed to ensure timely delivery to the specified timelines stated in the ITT."
11,Do you have restrictions on the countries where our technical team can be located? Would a mixed team based in France and Tunisia be acceptable?,"No, we do not impose any restrictions on the countries in which the technical team may be located. A distributed team based across multiple countries is acceptable. The teams must operate and support UK working hours.
"
12,Can you confirm the expected core team size from the vendor side during the main delivery phase (June–October)?,See Q10.
13,How many vendors do you expect to shortlist for the presentation phase?,This is internal tender information. BIS will not share this information with all bidders
14,"Beyond the fixed-price delivery, do you foresee follow-up phases or extensions after March 2027 ?","At this stage, we do not anticipate any follow-up phases or extensions beyond March 2027."
15,For the decentralised consortium bridge variant:Is there a target or recommended number of validators that the project should assume for modelling purposes?,"For development, the number of valildators should be kept to the minimum needed to prove the logic and progress iteration. For testing and assessment, a pragmatic approach is recommended to where number of validators should be driven by the project’s objectives and use cases, which we would expect the vendor to define as part of their proposal."
