Req-ID,Category,Sub-Category,Requirement,Priority,Response Type,Vendor Response,Evidence,Notes/Conditions,Score Weight,Tag
RQ-001,Platform Architecture,Core Components,"The platform must provide a unified application layer covering asset issuance, compliance enforcement, custody integration, settlement, and servicing as integrated modules rather than standalone tools.",Mandatory,Yes/No,,,,"5","[FIXED]"
RQ-002,Platform Architecture,Data Model,"The platform must implement a digital twin model where each tokenized asset is represented as an on-chain entity with full lifecycle state tracking.",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-003,Platform Architecture,Multi-Tenancy,"The platform must support multi-tenant deployments with strict logical isolation of tenant data, configuration, roles, and on-chain governance boundaries.",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-004,Platform Architecture,Scalability,"The platform must support horizontal scaling of API services, indexer workers, and observability components independently via Kubernetes-based orchestration.",Desirable,Yes/Partial/No,,,,"4","[FIXED]"
RQ-005,Platform Architecture,API Surface,"The platform must expose a comprehensive REST API with OpenAPI specification, supporting both synchronous and asynchronous (HTTP 202) transaction modes.",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-006,Platform Architecture,Execution Engine,"The platform must use a durable execution engine that guarantees workflow completion through infrastructure failures and process restarts.",Desirable,Yes/No,,,,"4","[FIXED]"
RQ-007,Platform Architecture,Blockchain Indexing,"The platform must include a blockchain event indexer capable of zero-downtime reindexing, reorg detection, and projection of on-chain events into queryable read models.",Important,Yes/Partial/No,,,,"4","[FIXED]"
RQ-008,Platform Architecture,Smart Contract Standards,"The platform must implement ERC-3643 (T-REX) as the native regulated token standard, with UUPS proxy upgradeability for all major contracts.",Important,Yes/Partial/No,,,,"5","[FIXED]"
RQ-009,Token Lifecycle,Asset Classes,"The platform must support tokenization of at minimum: bonds, equities, funds, stablecoins, deposits, real estate, and precious metals as distinct asset classes with purpose-built lifecycle logic.",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-010,Token Lifecycle,Configurable Tokens,"The platform must offer a composable token architecture allowing institutions to assemble custom asset types from pluggable features (e.g., fees, yield, voting, maturity) without writing new smart contracts.",Important,Yes/Partial/No,,,,"4","[FIXED]"
RQ-011,Token Lifecycle,Issuance Orchestration,"The platform must enforce a deterministic issuance workflow with paused-by-default behavior, requiring explicit permission grants and compliance configuration before tokens become transferable.",Mandatory,Yes/No,,,,"5","[FIXED]"
RQ-012,Token Lifecycle,Transfer Operations,"The platform must support minting, burning, transferring, forced-transfer (for recovery), and batch operations, all routed through an auditable async transaction pipeline.",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-013,Token Lifecycle,Corporate Actions,"The platform must automate corporate actions including coupon payments, dividend distribution, maturity handling, and redemption processing programmatically.",Important,Yes/Partial/No,,,,"4","[FIXED]"
