Ref #,Category,Sub-Category,Question / Requirement,SettleMint Response,Status,Evidence / Reference,Notes
Q1,Asset Lifecycle,Issuance & Servicing,Describe how your platform manages the lifecycle of a tokenized asset from issuance through servicing and redemption.,"DALP manages the full asset lifecycle, from asset setup and controlled issuance to servicing events and final redemption. The platform supports lifecycle controls such as minting, burning, pausing, unpausing, holder freeze and unfreeze, and forced transfer for exceptional regulated scenarios. Corporate actions and servicing workflows are handled within the platform rather than through disconnected manual processes.",Compliant,content/03-asset-lifecycle/main.md; content/08-rfi-response-bank/main.md section Q2.4,Claims limited to current DALP lifecycle capabilities.
Q2,Identity & Compliance,Identity Registry,How do you verify participant identity and bind that identity to on-chain eligibility controls?,"DALP binds participant wallets to OnchainID identities and uses verifiable claims issued by trusted issuers as the basis for eligibility decisions. A participant cannot self-assert KYC or accreditation status. Before a transfer proceeds, the compliance engine resolves the sender and recipient through the identity registry and evaluates the required claims and rules.",Compliant,content/02-configurable-compliance/main.md sections 4 and 6; content/02-configurable-compliance/notes.md,Uses standards-based identity and claim verification.
Q3,Identity & Compliance,Transfer Controls,Can your platform enforce transfer restrictions before settlement so that non-compliant transfers are blocked in advance?,"Yes. DALP applies ex-ante compliance controls, which means transfers are validated before execution rather than reviewed after the fact. The platform implements a code-verified set of twelve compliance module types across eligibility, country, supply, timing, approval, and collateral-related controls, so non-compliant transfers can be prevented at the transfer path itself.",Compliant,content/02-configurable-compliance/main.md; content/02-configurable-compliance/notes.md,"Uses the code-verified count of 12 module types, not broader marketing counts."
Q4,Operational Governance,Access Control,How does your platform support separation of duties and operational governance for enterprise teams?,"DALP enforces governance through layered access control. The platform combines organization-scoped platform roles with on-chain operational roles for system administration, token management, compliance management, identity management, and per-asset duties. This structure supports separation of duties across governance, operations, compliance, and audit functions rather than relying on a single administrator role.",Compliant,content/04-access-control-permissions/main.md sections 1 and 2; content/05-security/main.md section 2,Response focuses on current role model and governance controls.
Q5,Security,Authentication & API Control,How do you secure user access and programmatic access to the platform?,"DALP supports browser-based sessions for interactive users and scoped API keys for machine-to-machine integrations. Programmatic access is restricted to the REST surface, while API keys are explicitly blocked from the RPC endpoint, creating a hard boundary between user and integration channels. Sensitive blockchain write operations also pass through wallet verification controls unless the session is intentionally API-key based for automation.",Compliant,"content/03-integrations/main.md section 1.1; content/04-access-control-permissions/main.md sections 1, 4, and 5; content/05-security/main.md sections 1.3 and 1.4",Avoids unsupported claims about generic webhook completion flows.
Q6,Settlement,Workflow Integrity,Describe your platform's support for Delivery-versus-Payment style settlement workflows.,"DALP supports coordinated settlement workflows for delivery-versus-payment and XvP scenarios where settlement sessions move to deterministic terminal states such as executed, cancelled, or expired-withdrawn. The platform includes approval, cancellation, expiry-withdrawal, and closure handling, with durable execution services and indexed projection updates to maintain operational control and auditability. DALP's core scope is settlement coordination rather than direct fiat transfer execution inside the product.",Compliant,/Users/quark/Public/quark/workspace/product/dalp/capability-mapping/custody-settlement.md section Delivery-versus-Payment Scheduling and Settlement Closure,States the verified boundary that direct fiat rail execution is outside DALP core.
Q7,Integrations,API & SDK,What integration options do you provide for connecting with enterprise systems and internal tooling?,"DALP is API-first and exposes a unified REST API, an OpenAPI specification, a typed TypeScript SDK, and a CLI for operational workflows. The integration surface covers token, identity, system, monitoring, transaction, and addon domains, which allows institutions to connect DALP to surrounding operational systems without relying on manual console work. API keys are organization-scoped and support read-only or read-write patterns based on HTTP method enforcement.",Compliant,"content/03-integrations/main.md sections 1, 2, and 1.8; content/04-access-control-permissions/main.md sections 4 and 5",Answer limited to verified interfaces and auth patterns.
Q8,Auditability,Traceability & Evidence,How does your platform provide an auditable record of operational and compliance activity?,"DALP provides auditability across both on-chain and off-chain control points. Compliance decisions, transfer outcomes, role-gated mutations, and transaction lifecycle changes are recorded through immutable blockchain events and durable request-history records. This gives operators and auditors a traceable record of what happened, who initiated it, and how the workflow progressed.",Compliant,content/02-configurable-compliance/main.md sections 9 and 11; content/04-access-control-permissions/main.md sections 1 and 8; /Users/quark/Public/quark/workspace/product/dalp/capability-mapping/operations-and-reliability.md section Async Transaction Request Pipeline,References both business content and capability mapping for transaction history evidence.
Q9,Deployment,Hosting Options,What deployment models do you support for institutions with different security and data residency requirements?,"DALP supports managed SaaS, private cloud, on-premises, and hybrid deployment models. The same core platform capabilities are available across these models, while the infrastructure operating model and data residency posture can be aligned to the institution's requirements. This allows regulated teams to select the deployment model that fits their security, sovereignty, and operations constraints.",Compliant,reusable/deployment-options.md; content/04-deployment/main.md,No claims made beyond documented deployment options.
Q10,Resilience,Transaction Reliability,How do you maintain reliability for long-running or failure-prone blockchain operations?,"DALP routes v2 blockchain mutations through a durable 11-state transaction pipeline with idempotency controls, retry handling, dead-letter rescue, and a public status endpoint for progress tracking. This architecture keeps workflows traceable and recoverable across process restarts and infrastructure interruptions. The result is an operational model designed for controlled enterprise execution rather than best-effort transaction submission.",Compliant,/Users/quark/Public/quark/workspace/product/dalp/capability-mapping/operations-and-reliability.md section Async Transaction Request Pipeline; content/04-access-control-permissions/notes.md,Describes verified queue-backed reliability features only.
